filename,label,source,target,path
ny1080-09-2.jpg,Acer campestre,lab,1,dataset/images/lab/acer_campestre/ny1080-09-2.jpg
wb1370-10-1.jpg,Ficus carica,lab,28,dataset/images/lab/ficus_carica/wb1370-10-1.jpg
wb1085-05-1.jpg,Tsuga canadensis,lab,21,dataset/images/lab/tsuga_canadensis/wb1085-05-1.jpg
pi2480-05-4.jpg,Robinia pseudo-acacia,lab,17,dataset/images/lab/robinia_pseudo-acacia/pi2480-05-4.jpg
13001269151143.jpg,Catalpa bignonioides,field,26,dataset/images/field/catalpa_bignonioides/13001269151143.jpg
wb1371-05-3.jpg,Ficus carica,lab,28,dataset/images/lab/ficus_carica/wb1371-05-3.jpg
pi2718-06-4.jpg,Catalpa bignonioides,lab,26,dataset/images/lab/catalpa_bignonioides/pi2718-06-4.jpg
13002222490002.jpg,Toona sinensis,field,20,dataset/images/field/toona_sinensis/13002222490002.jpg
ny1152-23-4.jpg,Eucommia ulmoides,lab,8,dataset/images/lab/eucommia_ulmoides/ny1152-23-4.jpg
wb1086-03-3.jpg,Tsuga canadensis,lab,21,dataset/images/lab/tsuga_canadensis/wb1086-03-3.jpg
ny1048-06-1.jpg,Ulmus pumila,lab,23,dataset/images/lab/ulmus_pumila/ny1048-06-1.jpg
wb1414-08-3.jpg,Castanea dentata,lab,5,dataset/images/lab/castanea_dentata/wb1414-08-3.jpg
13291736092555.jpg,Ulmus pumila,field,23,dataset/images/field/ulmus_pumila/13291736092555.jpg
ny1024-02-4.jpg,Larix decidua,lab,11,dataset/images/lab/larix_decidua/ny1024-02-4.jpg
wb1221-01-2.jpg,Magnolia acuminata,lab,12,dataset/images/lab/magnolia_acuminata/wb1221-01-2.jpg
pi2784-05-1.jpg,Catalpa bignonioides,lab,26,dataset/images/lab/catalpa_bignonioides/pi2784-05-1.jpg
wb1262-01-3.jpg,Paulownia tomentosa,lab,15,dataset/images/lab/paulownia_tomentosa/wb1262-01-3.jpg
ny1023-07-4.jpg,Larix decidua,lab,11,dataset/images/lab/larix_decidua/ny1023-07-4.jpg
pi0078-01-2.jpg,Robinia pseudo-acacia,lab,17,dataset/images/lab/robinia_pseudo-acacia/pi0078-01-2.jpg
ny1022-01-4.jpg,Larix decidua,lab,11,dataset/images/lab/larix_decidua/ny1022-01-4.jpg
pi2216-07-4.jpg,Chionanthus virginicus,lab,27,dataset/images/lab/chionanthus_virginicus/pi2216-07-4.jpg
wb1047-09-2.jpg,Morus alba,lab,14,dataset/images/lab/morus_alba/wb1047-09-2.jpg
wb1459-03-3.jpg,Magnolia grandiflora,lab,13,dataset/images/lab/magnolia_grandiflora/wb1459-03-3.jpg
ny1138-05-4.jpg,Cedrus atlantica,lab,6,dataset/images/lab/cedrus_atlantica/ny1138-05-4.jpg
wb1002-08-1.jpg,Fagus grandifolia,lab,9,dataset/images/lab/fagus_grandifolia/wb1002-08-1.jpg
13001240198718.jpg,Asimina triloba,field,2,dataset/images/field/asimina_triloba/13001240198718.jpg
pi0034-03-2.jpg,Chionanthus virginicus,lab,27,dataset/images/lab/chionanthus_virginicus/pi0034-03-2.jpg
pi0001-09-4.jpg,Cercis canadensis,lab,7,dataset/images/lab/cercis_canadensis/pi0001-09-4.jpg
ny1141-01-4.jpg,Tilia cordata,lab,19,dataset/images/lab/tilia_cordata/ny1141-01-4.jpg
wb1045-08-4.jpg,Sassafras albidum,lab,18,dataset/images/lab/sassafras_albidum/wb1045-08-4.jpg
ny1037-07-2.jpg,Betula jacqemontii,lab,3,dataset/images/lab/betula_jacqemontii/ny1037-07-2.jpg
wb1413-02-4.jpg,Castanea dentata,lab,5,dataset/images/lab/castanea_dentata/wb1413-02-4.jpg
wb1086-06-4.jpg,Tsuga canadensis,lab,21,dataset/images/lab/tsuga_canadensis/wb1086-06-4.jpg
pi2217-08-2.jpg,Chionanthus virginicus,lab,27,dataset/images/lab/chionanthus_virginicus/pi2217-08-2.jpg
13001305197392.jpg,Chionanthus virginicus,field,27,dataset/images/field/chionanthus_virginicus/13001305197392.jpg
ny1013-05-1.jpg,Carpinus betulus,lab,4,dataset/images/lab/carpinus_betulus/ny1013-05-1.jpg
pi2615-05-4.jpg,Ulmus rubra,lab,29,dataset/images/lab/ulmus_rubra/pi2615-05-4.jpg
wb1087-02-2.jpg,Tsuga canadensis,lab,21,dataset/images/lab/tsuga_canadensis/wb1087-02-2.jpg
wb1395-02-4.jpg,Betula alleghaniensis,lab,25,dataset/images/lab/betula_alleghaniensis/wb1395-02-4.jpg
ny1178-07-1.jpg,Abies concolor,lab,0,dataset/images/lab/abies_concolor/ny1178-07-1.jpg
wb1002-02-4.jpg,Fagus grandifolia,lab,9,dataset/images/lab/fagus_grandifolia/wb1002-02-4.jpg
pi0078-04-3.jpg,Robinia pseudo-acacia,lab,17,dataset/images/lab/robinia_pseudo-acacia/pi0078-04-3.jpg
12991999195962.jpg,Cercis canadensis,field,7,dataset/images/field/cercis_canadensis/12991999195962.jpg
wb1043-08-3.jpg,Sassafras albidum,lab,18,dataset/images/lab/sassafras_albidum/wb1043-08-3.jpg
13291788884896.jpg,Castanea dentata,field,5,dataset/images/field/castanea_dentata/13291788884896.jpg
13291661480418.jpg,Betula alleghaniensis,field,25,dataset/images/field/betula_alleghaniensis/13291661480418.jpg
13291732975844.jpg,Acer campestre,field,1,dataset/images/field/acer_campestre/13291732975844.jpg
13291724505096.jpg,Ulmus pumila,field,23,dataset/images/field/ulmus_pumila/13291724505096.jpg
ny1178-08-1.jpg,Abies concolor,lab,0,dataset/images/lab/abies_concolor/ny1178-08-1.jpg
ny1022-04-4.jpg,Larix decidua,lab,11,dataset/images/lab/larix_decidua/ny1022-04-4.jpg
ny1080-08-4.jpg,Acer campestre,lab,1,dataset/images/lab/acer_campestre/ny1080-08-4.jpg
wb1164-06-1.jpg,Populus deltoides,lab,16,dataset/images/lab/populus_deltoides/wb1164-06-1.jpg
wb1263-07-4.jpg,Paulownia tomentosa,lab,15,dataset/images/lab/paulownia_tomentosa/wb1263-07-4.jpg
13002223739092.jpg,Tsuga canadensis,field,21,dataset/images/field/tsuga_canadensis/13002223739092.jpg
wb1370-07-1.jpg,Ficus carica,lab,28,dataset/images/lab/ficus_carica/wb1370-07-1.jpg
pi2179-10-2.jpg,Asimina triloba,lab,2,dataset/images/lab/asimina_triloba/pi2179-10-2.jpg
ny1074-07-2.jpg,Ulmus glabra,lab,22,dataset/images/lab/ulmus_glabra/ny1074-07-2.jpg
ny1141-06-1.jpg,Tilia cordata,lab,19,dataset/images/lab/tilia_cordata/ny1141-06-1.jpg
ny1037-10-2.jpg,Betula jacqemontii,lab,3,dataset/images/lab/betula_jacqemontii/ny1037-10-2.jpg
wb1163-04-2.jpg,Populus deltoides,lab,16,dataset/images/lab/populus_deltoides/wb1163-04-2.jpg
ny1080-04-2.jpg,Acer campestre,lab,1,dataset/images/lab/acer_campestre/ny1080-04-2.jpg
ny1037-03-3.jpg,Betula jacqemontii,lab,3,dataset/images/lab/betula_jacqemontii/ny1037-03-3.jpg
wb1396-05-1.jpg,Betula alleghaniensis,lab,25,dataset/images/lab/betula_alleghaniensis/wb1396-05-1.jpg
